"Sistema Nacional de Información Estadística y Geográfica",
"Catálogo Nacional de Indicadores",
"Fecha de consulta: 04/07/2024 17:07:38",

"Nombre del Indicador Clave: Tasa de desocupación - 15 años y más",
"Definición: Porcentaje que representa la población desocupada respecto a la población económicamente activa (PEA calculada con la población de 15 años y más).",
"Cobertura geográfica: Nacional y Estatal.",
"Cobertura temporal: Segundo trimestre de 1995 a 1999 y cifras  trimestrales a partir del segundo trimestre de 2000 al último disponible.",
"Unidad de medida: Porcentaje",
"Periodicidad: Trimestral",
"Próxima fecha de actualización: 3 de Septiembre de 2024",


"Entidad federativa","Indicador","2015/01","2015/02","2015/03","2015/04","2016/01","2016/02","2016/03","2016/04","2017/01","2017/02","2017/03","2017/04","2018/01","2018/02","2018/03","2018/04","2019/01","2019/02","2019/03","2019/04","2020/01","2020/02","2020/03","2020/04","2021/01","2021/02","2021/03","2021/04","2022/01","2022/02","2022/03","2022/04","2023/01","2023/02","2023/03","2023/04","2024/01",
"Chiapas","Total","2.80257","3.22569","3.12326","3.22353","3.06670","3.23316","3.22476","2.72381","2.53584","2.30303","2.99398","2.46697","1.99053","2.85693","2.83015","3.45415","3.09453","3.60047","3.70345","2.45755","2.58386","ND","3.39902","2.72578","3.17416","2.90871","3.28256","3.33131","2.49952","2.58906","2.28847","2.32698","2.48801","1.83913","2.47877","1.73476","1.69759"
"Chiapas","Hombre","2.80128","3.12876","3.01941","3.06524","3.18981","3.07571","3.15524","2.52825","2.29599","2.25928","2.42326","2.30081","1.83739","2.32454","2.35377","3.03042","2.83510","2.82278","2.89220","1.94490","2.19735","ND","3.17293","2.39856","2.84120","2.49684","2.70425","2.93017","2.01314","2.16567","1.59348","1.97711","2.16688","1.51550","2.12769","1.57594","1.52816"
"Chiapas","Mujer","2.80568","3.46922","3.37734","3.60697","2.77860","3.61077","3.38600","3.22365","3.10638","2.42144","4.46964","2.91574","2.37447","4.34287","4.10374","4.60508","3.75960","5.29360","5.48055","3.57144","3.42466","ND","3.97008","3.51476","3.93416","3.81786","4.63431","4.14018","3.59072","3.47429","3.73149","3.04667","3.12464","2.50237","3.20436","2.07035","2.05797"
"Chihuahua","Total","3.51556","3.99813","4.00371","3.39701","3.22571","3.80391","3.23994","2.36490","3.03463","2.70655","2.45780","2.60282","3.89362","3.41000","3.08700","2.22280","3.03526","3.38451","3.19745","2.57083","3.49114","ND","4.69780","3.73507","3.97549","3.61242","3.02856","2.86673","2.59984","2.45553","2.46536","1.98906","2.78441","2.47852","2.81498","1.92983","2.23835"
"Chihuahua","Hombre","3.79320","4.29476","3.72501","3.41318","3.84341","3.78847","3.11879","2.16381","3.11133","2.76633","2.23149","2.74113","3.56748","3.04787","2.96966","2.28407","2.95694","3.21831","3.06646","2.52544","3.48376","ND","4.63293","3.15423","4.20475","3.82129","3.10521","2.68568","2.24078","2.28779","2.26471","1.86074","2.91355","2.41347","2.72487","2.03116","1.89164"
"Chihuahua","Mujer","2.99177","3.42971","4.52358","3.36942","2.12311","3.83070","3.43902","2.69581","2.90530","2.60976","2.81896","2.38803","4.39462","3.95394","3.26231","2.13424","3.15792","3.64701","3.40421","2.63959","3.50235","ND","4.79997","4.63021","3.60469","3.27580","2.90591","3.14701","3.17170","2.72428","2.78728","2.18827","2.57966","2.58030","2.95380","1.78047","2.75078"
"Ciudad de México","Total","5.75598","5.35151","5.02920","5.24042","5.68960","5.09326","5.01883","4.33423","3.75831","4.92390","5.15409","4.57533","3.65645","5.13624","4.56009","5.12514","4.73037","5.15945","4.99577","5.10120","4.72524","ND","7.99090","6.63142","7.30910","7.25668","6.99109","5.89173","5.84765","5.39836","5.25200","4.53060","3.75255","4.36955","4.06650","3.90904","3.97081"
"Ciudad de México","Hombre","6.20129","4.51648","5.10846","4.89677","5.87820","5.16090","5.43099","4.38602","3.83276","4.36706","5.00106","4.56289","3.69332","5.25907","4.60021","5.46449","4.78851","5.11496","5.13500","5.52472","5.32077","ND","8.54293","7.66918","7.82103","6.77071","6.72796","5.57858","6.28986","5.75610","5.13674","4.41818","3.56713","4.14937","4.49047","3.45016","3.46216"
"Ciudad de México","Mujer","5.18952","6.39730","4.92999","5.69834","5.44435","5.00403","4.47285","4.26507","3.66211","5.62590","5.34233","4.59021","3.61204","4.98609","4.50839","4.68854","4.65505","5.21853","4.81386","4.56951","3.97065","ND","7.27227","5.30580","6.64120","7.89176","7.31266","6.28110","5.28764","4.93787","5.39711","4.66737","3.98715","4.63195","3.53766","4.46121","4.56130"
"Durango","Total","5.88889","4.83148","4.93120","3.95442","4.48652","5.03338","4.94026","3.51179","4.04593","4.04150","3.85955","3.32689","4.34934","3.74331","4.96268","4.10822","4.64486","4.25457","3.94023","3.25998","4.05512","ND","4.80873","4.87685","4.14994","4.59470","4.21080","3.43068","3.57521","3.26514","3.25675","3.08720","2.98737","2.87201","3.09686","2.82041","3.04594"
"Durango","Hombre","5.69121","4.73330","4.94213","3.74938","4.08085","4.82867","4.57033","3.37570","4.15508","3.49101","3.25041","2.88347","3.80367","3.55817","4.56997","4.01199","4.84047","3.70070","3.96956","3.12262","4.03617","ND","4.78040","5.11876","4.43518","4.62317","3.96653","3.30605","3.38553","2.98314","2.86902","2.87327","2.75474","2.67287","2.72299","2.68700","3.42010"
"Durango","Mujer","6.21775","4.99355","4.91282","4.30206","5.17372","5.36608","5.53689","3.73917","3.86015","4.93865","4.84607","4.04218","5.23361","4.03769","5.60915","4.26458","4.33189","5.12197","3.89243","3.48165","4.08597","ND","4.85784","4.46919","3.68858","4.54922","4.58668","3.62268","3.86893","3.70254","3.85160","3.42205","3.35515","3.18208","3.66978","3.00450","2.51352"
"Guanajuato","Total","4.96455","4.41203","5.11598","4.48025","4.15410","3.74130","3.98962","4.09319","3.47320","4.11357","2.88235","3.82566","3.49782","3.40197","3.67721","3.81109","3.98003","3.76565","3.80883","3.29813","3.55997","ND","6.64331","5.33650","5.91211","5.60891","5.41382","3.91123","3.63624","2.93240","4.01364","3.07080","2.89610","3.40810","3.17500","3.06176","3.13757"
"Guanajuato","Hombre","5.00558","4.46975","5.32018","4.51719","4.12384","3.79348","3.82922","4.08384","3.63177","4.52683","3.10635","3.86397","3.63460","4.04139","3.86034","3.53461","3.90241","3.87606","3.76689","3.68598","4.44602","ND","7.40952","5.33433","6.31228","6.33377","6.13466","3.85178","4.02441","3.43277","3.95404","2.86979","2.73734","3.36619","3.14481","3.35163","3.19328"
"Guanajuato","Mujer","4.90039","4.32328","4.79491","4.42446","4.20114","3.66315","4.22246","4.10736","3.22902","3.42905","2.50878","3.76254","3.27082","2.37983","3.37122","4.25829","4.10084","3.60117","3.87151","2.73772","2.25559","ND","5.41724","5.33971","5.27794","4.52871","4.33377","4.00292","3.03027","2.20272","4.10229","3.37469","3.13258","3.47149","3.21960","2.63227","3.05589"
"Guerrero","Total","1.75202","1.99402","2.52725","2.09710","2.63720","2.02273","1.76042","1.65327","2.07951","1.43920","1.48803","1.57982","1.22757","0.84914","1.54874","1.23073","1.82428","1.39868","1.40250","1.45060","1.58399","ND","3.28630","2.40477","1.69174","1.50949","1.59391","1.41565","1.60378","1.48935","1.71875","0.80639","1.79719","0.94910","1.14982","0.76679","1.16994"
"Guerrero","Hombre","1.79561","1.74705","2.40748","1.85160","2.68190","2.20114","1.96402","1.74788","2.38210","1.19770","1.49701","1.52504","1.26738","0.74177","1.29704","1.14307","2.08614","1.41932","1.42638","1.34968","1.34535","ND","2.88969","2.59744","2.14670","1.86944","1.62719","1.36975","1.79615","1.55231","1.79839","0.86186","1.78135","0.95920","1.26099","0.52777","1.16190"
"Guerrero","Mujer","1.68019","2.39860","2.71665","2.48314","2.57178","1.72971","1.43641","1.49232","1.61949","1.81208","1.47294","1.66749","1.16723","1.02055","1.97122","1.36532","1.43291","1.36843","1.36619","1.60528","1.93647","ND","3.93760","2.07989","0.98742","0.97137","1.54143","1.48803","1.30622","1.39558","1.59813","0.73059","1.81895","0.93556","1.00068","1.07121","1.18039"
"Hidalgo","Total","3.59172","4.03503","4.41640","3.24059","3.88155","3.09860","2.93140","2.66819","3.55419","3.15223","2.26899","2.60214","2.42492","2.43348","3.06785","2.07696","2.47825","2.69448","2.05468","2.50749","1.86791","ND","3.33658","2.19263","4.02292","2.22535","2.87668","2.70085","2.22827","2.64529","2.30357","2.20085","2.51059","2.74172","2.61026","1.82158","2.16296"
"Hidalgo","Hombre","3.67235","3.64707","3.45306","3.13041","3.33031","3.51608","2.67609","2.72869","3.25683","2.97283","2.35285","2.22190","2.26979","2.40415","2.39630","1.78249","1.92316","2.55641","2.00369","2.46782","2.27017","ND","3.20637","1.88336","4.92999","2.40884","3.21887","3.11241","2.57742","2.87883","1.96060","2.83514","2.72765","3.35700","2.54423","1.63235","2.03625"
"Hidalgo","Mujer","3.45670","4.63256","5.85448","3.40751","4.74393","2.43901","3.32984","2.57111","4.05361","3.45089","2.12997","3.23038","2.68852","2.48079","4.07422","2.52999","3.29700","2.89629","2.13011","2.56462","1.26151","ND","3.56124","2.66899","2.57787","1.94161","2.38701","2.11174","1.73552","2.33496","2.76920","1.35698","2.21257","1.90686","2.70106","2.07672","2.33828"
"Jalisco","Total","4.01326","5.26480","5.17718","4.27755","4.17110","3.65995","3.47411","3.27419","2.70792","2.55351","3.11403","2.90621","2.32044","3.00514","3.00571","2.52382","2.58847","2.96334","3.18748","3.05405","2.93746","ND","5.00079","4.05613","3.71942","3.34635","3.38636","3.09968","2.36197","2.34432","2.81465","2.36228","2.15357","2.45554","2.96041","2.20221","1.42081"
"Jalisco","Hombre","4.10339","5.39526","5.07095","3.69451","4.18500","3.57169","3.61878","3.50489","2.68222","2.42550","3.36708","2.87820","2.27110","3.33115","3.16994","2.70769","2.49395","3.09199","3.61403","3.12671","2.67893","ND","5.46719","4.33760","3.74732","3.28893","3.11334","3.15972","2.57033","2.32956","2.85460","2.62032","2.31223","2.47202","3.39092","2.60622","1.55048"
