FECHA EVENTO,ESTADO,MUNICIPIO,CORTA,LARGA,TOTAL,CARGS,GDAS,CARTS,
08-feb-13,D.F.,"MIGUEL HGO., D.F.",53,11,64,0,7,1050,
12-dic-14,D.F.,"CUAUHTEMOC, D.F.",38,26,64,0,0,300,
14-jun-23,México,"LA PAZ, MEX.",63,1,64,0,40,62,
23-feb-13,MEX.,"TLALNEPANTLA DE BAZ, MEX.",40,23,63,0,2,0,
27-feb-13,MEX.,"TECAMAC, MEX.",38,25,63,0,6,205,
08-abr-14,DGO.,"DGO., DGO.",48,15,63,28,8,0,
22-abr-14,MEX.,"NEZAHUALCOYOTL, MEX.",56,7,63,0,8,300,
21-sep-16,D.F.,"CUAUHTEMOC, D.F.",45,18,63,0,8,977,
19-jun-23,México,"ZUMPANGO, MEX.",63,0,63,1,0,23,
13-feb-13,DGO.,"DGO., DGO.",48,14,62,10,3,0,
09-mar-13,MEX.,"TEXCOCO, MEX.",46,16,62,0,6,253,
09-abr-13,D.F.,"AZCAPOTZALCO, D.F.",45,17,62,0,3,270,
22-oct-14,D.F.,"COYOACAN, D.F.",38,24,62,0,0,50,
27-nov-14,GTO.,"CELAYA, GTO.",40,22,62,0,3,0,
06-feb-13,D.F.,"MIGUEL HGO., D.F.",47,14,61,0,2,1800,
11-abr-13,D.F.,"AZCAPOTZALCO, D.F.",47,14,61,0,0,350,
14-feb-13,MEX.,"NAUCALPAN DE JUAREZ, MEX.",51,9,60,0,4,873,
08-mar-13,COAH.,"TORREÓN, COAH.",50,10,60,1,2,53,
28-mar-13,DGO.,"DGO., DGO.",41,19,60,48,1,0,
24-sep-14,D.F.,"MILPA ALTA, D.F.",38,22,60,0,7,0,
23-mar-19,CHIH.,"JUÁREZ, CHIH.",48,12,60,10,0,710,
22-jun-23,México,"ZUMPANGO, MEX.",60,0,60,13,0,0,
22-feb-13,MEX.,"ATIZAPAN DE ZARAGOZA, MEX.",47,12,59,0,3,351,
02-mar-13,MEX.,"TECAMAC, MEX.",42,17,59,0,18,190,
